Datetime,Tweet Id,Text,Username
2023-01-30 23:59:58+00:00,1620210242851328001,"@borghi_claudio Claudietto, non è che se ti metti le manine davanti agli occhi il mondo scompare. E così è anche per il #COVID19. https://t.co/eWHmBDEnDs",Monia_Podda
2023-01-30 23:59:57+00:00,1620210240246681602,"@CrossedKom Waalaikummussalam kom! Stay safe, stay negative from Covid-19! 1312 #standwithRuas #prayforRuas",lampuapam
2023-01-30 23:59:52+00:00,1620210217790365698,"The Day 1042 COVID-19 Report of India || ABC Live https://t.co/KsBDiZoXlu 
@PMOIndia
@POTUS
@KremlinRussia_E
@JPN_PMO
@CanadianPM
@AlboMP
@WHCOVIDResponse
#COVID19 
@abclive
@drawat123
@NITIAayog
@elonmus
@OfficeOf_MM
@CMOKerala
#COVID19
@RahulGandhi",abclive
2023-01-30 23:59:48+00:00,1620210199201185792,"#AlexWasRight 9/11 was an inside job, demolition. #Covid19 is a psychological operation to divide and control people.",theNNoHH
2023-01-30 23:59:46+00:00,1620210193807331331,"Deberíamos hacer lo mismo en España

Forran los edificios de la BBC (la principal televisión británica) con aquello que ocultan y censuran:
Las muertes y daños causados por las Vacunas Covid19 experimentales que afirman de forma propagandística que son seguras. https://t.co/J1DzGcoOfn",EGofio
2023-01-30 23:59:46+00:00,1620210190456098820,"OMS dice que el COVID-19 sigue siendo una emergencia de salud global, en un “punto de transición”

🔴MIRA LA NOTA🔴   https://t.co/2pmuIhgxZC

📲 @epochtimeses ✅Descarga nuestra aplicación https://t.co/iKBTjXzQhX",TeAmoMiPeru25
2023-01-30 23:59:37+00:00,1620210153558515712,"#Corona Info for #USA:
New Cases: 4778
Today Recovery: 17582
Today Deaths: 66
Total Active Cases: 1780669
Total Cases: 104172351
Total Recovery: 101259078
Total Deaths: 1132604
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram.",krishna444_test
2023-01-30 23:59:31+00:00,1620210131094106113,"#Actualidad En una semana reportan 640 casos de Covid-19, positividad está por debajo del 3% https://t.co/v68CdldDCs a través de @radiopanama",radiopanama
2023-01-30 23:59:30+00:00,1620210124529799169,La vaccination est-elle un moyen efficace pour lutter contre un virus ? #Covid19 Oui selon l'OMS : les vaccins sont sûrs et peuvent aider à prévenir la transmission du virus. #Vaccin #OMS #COVID19 https://t.co/IPDPDD2ktQ,GingNews
2023-01-30 23:59:29+00:00,1620210122332188672,Joe Biden anuncia que pondrá fin a emergencia nacional por covid-19 en EEUU este 11 de mayo - https://t.co/fvQhZgGgWc https://t.co/IIZAU3Ih9o,ProyectoPuente
2023-01-30 23:59:29+00:00,1620210121732403201,President Biden to end COVID-19 emergencies on May 11 https://t.co/vuNcPl72fV #groundnews,realpaddyfield1
2023-01-30 23:59:26+00:00,1620210110126608387,"President Joe Biden informed Congress on Monday that he will end the twin national emergencies for addressing COVID-19 on May 11, as most of the world has returned closer to normalcy nearly three years after they were first declared.
https://t.co/2EO8Wn3eS7",KABBFOX29
2023-01-30 23:59:22+00:00,1620210091977998336,"空気感染が疑われる伝染病蔓延期に於いてワクチンをしてマスクをして他人と2メートル以上の距離を保つことというのは医学の話。
ワクチンがアレやコレやだの、マスクするしないだの、インフルエンザと同じだの、、、というのは政治・経済・金の話。#医療従事者 #COVID19 #歯科医師　#感染症対策 https://t.co/XDEYoExxfQ",iritaniosamu
2023-01-30 23:59:22+00:00,1620210090073800705,ينوي الرئيس بايدن إنهاء حالات الطوارئ الصحية الوطنية والعامة لي Covid-19 في 11 مايو بعد تمديد نهائي واحد كما يقول البيت الأبيض,wafifeal3lale
2023-01-30 23:59:17+00:00,1620210071329447936,"3 years on, COVID-19 remains a public health emergency of international concern. May 2023 be the year this pandemic ends. 😷🤒🤕",HeatherPinnock
2023-01-30 23:59:17+00:00,1620210069974691840,"@NPR A lot could happen between now and May 11. You can't plan that far ahead to declare a pandemic is ""over.""
#COVID19",MarcEdelmanNYC
2023-01-30 23:59:16+00:00,1620210066543759360,"La OMS anunció que mantiene el nivel máximo de alerta por #COVID19 pues a pesar de que la situación es mejor que el año pasado, desde diciembre las muertes reportadas en el mundo han ido en aumento #AzucenaxFórmula",azucenau
2023-01-30 23:59:14+00:00,1620210059048554497,"聞いたような話だな。
どこで談合してるんだ？
ダボが集まるいかがわしい芭蕉か？

速報: バイデン大統領は 5 月 11 日に Covid-19 公衆衛生上の緊急事態を終わらせる - AP

【自動翻訳】👇",Keyholeshapedmd
2023-01-30 23:59:07+00:00,1620210026932760576,Biden plans to end both the national emergency and public health emergency declarations related to COVID-19 on May 11. https://t.co/FUEV0cUWlb,ceceliasmith12
2023-01-30 23:59:06+00:00,1620210025997209600,"Biden to end COVID-19 emergencies on May 11

https://t.co/bLgcdPmTB1 https://t.co/kOdzdX1pA0",WashTimes
2023-01-30 23:59:01+00:00,1620210005294329856,"@CherylBHarding1 @stkirsch CMR Imaging 6 Mo After Myocarditis Assoc w BNT162b2 mRNA COVID-19 Vac. Pediatric Cardi. https://t.co/NjE9Nk1coB 
""Late CMR f/u demonst resol of edema in all pts, while some had evid. of residual myo scarring.""
PERMANENT; studies have to tiptoe to be pub'd.",RangerRob12
2023-01-30 23:59:00+00:00,1620209999808020483,"Top story ParamountNashik: Biden intends to end Covid-19 and public health emergencies on May 11 | CNN Politics https://t.co/gOT3wUZoFn, see more https://t.co/fsKi8DP8bX",paramountnashik
2023-01-30 23:59:00+00:00,1620209998767742976,President Biden to end COVID-19 emergencies on May 11: https://t.co/ceD80IzEYP https://t.co/v0TYVZ0N5D,WAFB
